id,text
1.0,3ayech service mrigul wallah ?? internet ytayyar 3la 9alil
2.0,Merci Topnet ?? forfait data khir men 3and kol
3.0,Chbik ya Topnet fi tounes? rseau yhazik fel 3asima ??
4.0,Appli mobile t9a3di tawa walla? mchit nchouf facture matlou3ich ??
5.0,Normalement 4G ykoun sarii3 ama 3andkom rir rir ??
6.0,Bravo 3likom ?? recharge facile w prix mrigul
7.0,Tawa 3andkom problme fel rseau? 3andi 0 bar w nest7a9 net ??
8.0,Svp 7alou mouchkilet l'appel yta7 3la ro7ou ??
9.0,Pourquoi le forfait illimit ytayyar ba3d 10Go? Khata ??
10.0,Yhazikom sbe7 lkhir! 5G taw njarbou nchlh ??
11.0,N7eb nchri carte sim jdida ama mafamech agence mrigla ?????
12.0,??? 3eme appel yaw nchki 3la rseau wallah maynajmou y7alou chay
13.0,Merci pour la promotion ramdan ?? data 50Go b 15dt khir
14.0,Mon forfait tzid fih 7seb ro7ha w anaya ma 3andich 7ata 7keya ??
15.0,Appli tkasra kifeh tawa? tod5ol w t5rj 3la ro7ha ??
16.0,Ey wallah 5edma barka taw nchouf chnowa jdida
17.0,Rseau mtayyar fel mnihla w we7l mrigul chnawa n3aml? ??
18.0,Vive Topnet! 3aychek 3la loffre weekend ????
19.0,"Jai pas de rseau dans mon dar, w ana fel centre ville ??"
20.0,Encore des coupures? N3ichou fel 2024 w 5edmekom tesla7 l 2010 ??
21.0,Svp facture tala3li 50dt w ana 5demt 30dt seulement? ??
22.0,Forfait mobile plus t7eb t5alles online ama site ta7 ??
23.0,"3ejbetni 3aradhkom jdida, chrab 9ahwa w 7ot 4G ????"
24.0,Chkoun 3ando mchkla fel data speed? ana 3andi 2mb/s w n5alles 4G+ ??
25.0,Merci ya Topnet tounes. nchallah dima nhar mabrouk
26.0,Cest quoi cette pub? 3ana 5G fi tounes w ala we9t ? hahaha ??
27.0,7ata code promotionnel makch tawj dou ????
28.0,Avis: code *122# mayekhdemsh 3la 7sebi. 7alouha
29.0,N7eb n7awel forfait ama site mta3kom 3al 9fal ??
30.0,Yah yah yah! ghadiwa 5edmet zapper? taw yjiwek 3bed
31.0,Rani nchki mn marsa l ezzahra koll chay ta7 fiya ??
32.0,Pourquoi 9a3ed yekhdem lappli meloul? n7eb nraja3 wahda
33.0,Offre twfir taw nraha ama na3ref hia 3ibara 3la kdhb ??
34.0,"Yezzi chbik ya topnet, 3ayeltina bel mouchkil mt3 rseau"
35.0,Rechargement par carte verte sarii3 w bara merci
36.0,Tawa tla3 facture w ana chkoun li bech y5alles ? moch mochkla 3andi *99#
37.0,Nchlh nhar jdid w rseau jdid ??
38.0,???? ????? ???????? ??? ?? ???? 5las bel dinar ????
39.0,Tala3li code mrigul ama yesta3melch m3a pack internet
40.0,Merci Topnet pour la stabilit fel 4G. 3aychek
41.0,Wallah appli mobile tzid tkharreb m3a koll mise  jour ??
42.0,Fama code promotionel jdid? n7eb n3abbi ra9mi
43.0,Taw na3ref 5edmekom mta3 zebi. 3emlet verification w ma7allouch
44.0,?? ???? ???? ?? ??????... ???? ??????
45.0,Super offre pour les jeunes ?? n7eb n3alem 3liha
46.0,Nafs l mchkla fel sms mtayrin wala 3adi ?
47.0,Bon courage 3likom. Khaserna 3likom mais 7atou 7al ??
48.0,"Sahbi fel agence 9ali narja3 ghodwa, w ghodwa jit 9ali narja3 ba3d ghodwa ??"
49.0,Tawa appli t5rj 3lik fel payment... kifeh nkaml?
50.0,Nchallah fachekh fel rseau w 5edma behia nchlh mrigula
51.0,???? l code mta3 ra9mi mafamech? N7eb nchouf solde
52.0,3aychek ya Topnet 3al fibre optique fi touns. Wallah sarii3 ??
53.0,"Mon pote 3ando 5G fel centre, w ana fel jiha okhra 3G ??"
54.0,Khatemni site mta3 recharge. mrigul w sarii3
55.0,Taw 3andkom 3aradh 7ata lel 9raya ? n7eb net jdid
56.0,Appel ytayyar wa9t ma nkoun fel metro... haja tkaser
57.0,???? ?? ?????? ????? ????? ??? latency? 150ms ??????? ??
58.0,"Merci beaucoup, tnajamou tzidou des offres internationales"
59.0,Lapplication t3ich fi dhaw9a. Temchi 5 minutes w t5rj.
60.0,Kifeh n3amel bech n5ales facture b carte bancaire?
61.0,???? ????? ?? ??? Livebox? ??? ???????
62.0,Wallah yahbelna faza mta3 1 dt lel sms w mazelna nchkoul
63.0,Taw najamt nchouf loffre jdida 'illimit' ama el vitesse 384k ????
64.0,Svp n7eb nbadal agence de vente. win najm?
65.0,Pour linstant koll chay mrigul. 3aychekom
66.0,??? ?????? ??? ?????? mrigula tawa ??
67.0,Code #123* wala ma yekhdemsh? fama beddel?
68.0,5G sur le papier mais dans la ralit 4G pourri
69.0,Tawa nkamel 3am m3akom w nchlh nkamlou
70.0,La recharge par carte lectronique mrigula. Brava
71.0,Wallah fi nhar la9dhia n3ichou l7keya mta3 linternet li howa 7keya
72.0,Offre 'Tounesna' 3ejbetni. Ylzm cha3b
73.0,Soutien technique mta3kom y7ki m3aya kima 3bd ma ye7kich ??
74.0,Appel  ltranger 3andkom 7ata 3ardh? n7eb n3ref
75.0,Clairement lun des meilleurs oprateurs en Tunisie. Chokran
76.0,??? ???? ??? eSIM ?????? ???? ??????
77.0,Mazelna nchkiw fi 7adoud linternet w n5alsou barcha
78.0,Yezzi 3likom a suffit. Wallah nra7el lel ooredoo
79.0,Pourquoi les packs sont chers par rapport  la qualit ?
80.0,N7eb nkamel inscription fel offre ramlet. win najm?
81.0,Taw nkoul 7aja behia: support technique yrad 3la ro7ou
82.0,Khatemni service de livraison carte sim to home. Merci
83.0,???? ?? ???? ????????? ??????? whatsapp ????
84.0,"Bon, hn nchkiw barcha ama fi lastu, wallah y5admi"
85.0,"Taw ki nkoun fel 3asima rseau mrigul, ki nkoun fel dakhil 7ata chay ??"
86.0,N7eb nraja3 flous par erreur? kifeh?
87.0,Offre weekend sarii3a mais prix 5ayeb
88.0,Tala3li facture 70 dt w ana ma 5demt chay ??
89.0,Yekhi mchant wallah 5edma 3al 9alil.
90.0,Super exprience avec lappli. Rien  redire.
91.0,???? ?? ?? ????? ???? ??? VPN ????? ?????
92.0,Code *111# maykhdemch 3la Android 14. 7alouha
93.0,Nchlh taw nwalli n3ayech 3al 5G mrigul
