comment,label
شكون تفرج علي فيديو في كرونا 😗,neutre
نادي سوسة يبحث عن لاعب بديل للاعب المنتقل إلى نادي الإفريقي.,neutre
kol 3am winti 7ay b 1000 5ir,positif
men a9wa ma thama titrouet 2020 bravo jen 4lfa mousika tchi5 3liha,positif
nekbsouhom w nraw7ou mat5afèch,positif
rabi khalik ya zaza,positif
looooooooooooooooool ya m3allem ya 9ahira al 3adhara,positif
enti d5alet letari5 men beb kbir esmw club african,positif
haythem jerbi l3affat hedha za3ma maye5ouch passif men 3andi,negatif
lasta kad el maasoulia degage,negatif
officiel zohayer dhawedi au club africain pour ans et dem,positif
hhhhhhhhhhhhh hhhhhhhh chriiifa hiya hhhh,negatif
best hashtag,positif
a3tona shih rakim habalto zbobitna bil kedhb,negatif
Si jaloul a7sen ouzir fi tounes,positif
mazelou enes yhezou fl 9ofa w ysaf9ou fi beli wfé kol chay m3a ben 3li ama houma mazelou ybandrou w ysaf9ou mouch ken l slim rié7i nes ma3andhomech karama,negatif
si slim rabi m3ak,positif
l m3alem,positif
wallah kif yokhorjou elkolll je resterai benti ans tchikh 3likom wenti rabbi y3inek wkoll ens en 7orr fikhtiyaratou wyet7ammel messoulitou pour moi le plus competant houwa elli yarba7 wekhtart kaiiss wenti sami très compétant wekhtart el7iwar ,negatif
tstahel 5ir man haka rabi izidak ya rabiiiiiiiiiiiiiiii,positif
hhhhhhh est khir,positif
la7assa hahaha taw ye9ef el tounes belgda zeda,negatif
hay ep 14,positif
Ma7la zinek samii,positif
ebe3edna marakhsseeek w enta kabecht kel fa9eer,negatif
raja3 montasar w 5arej 3la 3lina kouki hazna lel hawya,negatif
chfty wa chofy,neutre
نحبها,positif
si slim brabbi ija l ain drahem,neutre
raj3elna lou7ichi 3malna preparation ta7founa 3amnewel wmatchouet amical contre toulouse w guimares mouch contre lek3alfaa ykawrou bechmeta,neutre
حلقة ماسطة بخلاف بلطي,negatif
kifach tchwafi el internet el yom,neutre
Taw hedha mante9 Kathroulha,negatif
flous 3awen bihom ef9ara 5irlek m koura,negatif
jenjoun soutou ki kafon w 4lfa soutou kima kazo,neutre
bravooo slim ryahi,positif
sayéb 3lik wija lé nahdha,negatif
chnowa eli 3jebkom fih brabi wahed sarak ma yeswa chey fale7 ken fil klem w il fe3el rabi ijib,positif
hhhhhhhhhhh mala kathab za3ma za3ma metwatha3,negatif
ili ytkakmou lkol yezou melklrm wsab ti intou sbeb 5rab lbled bled nesha ra9da wmey7ibouch y5dmou wn9dou fi nes ili t5dim wallah illi 9a3din ye5dmou bi hal bled houma ichyb ili t9oulou 3lih ble3 w7kouma whouma thalmin rwe7him chedin bled cha3bha berik wnhar lkol whouma ychkou wybkou wtalbin ezyeda nes t7ib thz lbled wt9awimha cha3b yfakir ken fi kirchou intouma l3ib fi hal bled echou3oub hia ili thiz bldenha whia ili tbarakha alor yeziou mil klem wlbke ki nseeee wsab ki ljahala wtlamou e5dmou za7,negatif
silm riaha a une fortune de 7000 milliards c vrai sa,neutre
guedri rou7nayik enti w tarachi maatougui madda5alich ca fi tkambin essiassa mta3ik 3andik mochkla m3a 7okouma barra lil 9asba win t7ib toussil t7ib t9awim li9yama kima fi soussa ena n9ollik inna al fitna achad mina al 9atl w barra dour b ghaflin jomhour ca mouch bouhali bech tista3mlouh fi tafahat,negatif
mrdi bkani ollah,negatif
houma bidhom eli nabrou 3la izikel lioum ynabrou 3la casoni rod belek toghlet ya si slim entreneur 3mal un fond de jeu tayara barcha w 7ata equipe fi tounes ma tl3ab koura kifna el mosta9bel ybacher bkol 5ir apart kelke faute eli lezem yetsal7ou l equipe est sur la bonne route,positif
ty rou7 nayeek frère,negatif
slim riahi morachah jamahir efriki liraisat aljomhoria bicharat tabka rais al5alia,negatif
li o5tna rawdha awil ijtime3 li cpr fi sfe9is le 26 09 2011,neutre
wlh ya ali vraiment hasit bik wd3itlak fislati bah rabi yachfilak yamak wtwalaw khir mn zman nchalah ya rabi wnab9a tjr nad3ilkom wmrc 3titna darss jamai nansawah wrabi yachi jami3 mrc,positif
bravoooooooooooooo alik,positif
lezemha tet7al hahaha chid zarzouna khirilek hahaha,negatif
ben mohamed ye5i makch newi t7chem w t9ader omek li rabetek fele5er tla3telha anzassa 5amja najem na3ref chkoun li 5al9ek rabi wala 5arya me toilette,negatif
4lfa hlikhaa kont béch nsibkom ezzouz ama battalt 5ater jenjoon tla3 béhi coté parole w flow mouch mnayik ama 4lpha ktibtik k sormék wallét,negatif
7lel fihim 9ateel,negatif
hamza chkir,neutre
parc khamej,negatif
nefdik 3lik na3ref hada album elli 7dith,neutre
il faza kawinhom barcha twansa 3mii,neutre
osb ca,neutre
tfouhhhhh alla zouk omekom,negatif
elhesed ya3mel wkol wahed 3lech yehsdouh wenti lamithom lkol,negatif
sallefni shwaya fluus slouma,neutre
